report_id,report_text,site,location,activity,barrier_failure,report_type,sif_potential,predicted_sif,predicted_sif_proba,final_lsr_tag,hazard_categories
OIL_00030,Personnel were observed during equipment servicing; missing isolation verification was noted and corrected as a routine safety improvement.,Bihar Field,Processing Plant,equipment servicing,missing isolation verification,UA Observation,0,0,0.029976948770577785,Energy Isolation,['energy_isolation']
OIL_00031,"During panel maintenance, a minor issue involving exposed live conductor was observed. No significant exposure to serious injury or fatality potential was identified.",Naharkatiya Field,Production Facility,panel maintenance,exposed live conductor,Near Miss,0,0,0.021861988659301015,Energy Isolation,[]
OIL_00032,A routine inspection identified worker inside exclusion zone during pipe handling. The issue was corrected without significant safety exposure.,Naharkatiya Field,Processing Plant,pipe handling,worker inside exclusion zone,UC Observation,0,0,0.0004374058242017026,Line of Fire,[]
OIL_00033,Personnel were observed during material storage; poor labeling was noted and corrected as a routine safety improvement.,Digboi Field,Workshop,material storage,poor labeling,UA Observation,0,0,0.024280457574039155,Safe Mechanical Lifting,[]
OIL_00034,"During vessel inspection, a minor issue involving no standby person was observed. No significant exposure to serious injury or fatality potential was identified.",West Bengal Field,Sewer Area,vessel inspection,no standby person,UA Observation,0,0,0.017282283204158942,Confined Space,[]
OIL_00035,Personnel were observed during hot work maintenance; inadequate gas testing was noted and corrected as a routine safety improvement.,Naharkatiya Field,Fabrication Yard,hot work maintenance,inadequate gas testing,UA Observation,0,0,0.037172017715437544,Confined Space,"['confined_space', 'hot_work_fire']"
OIL_00036,"During routine work, seat belt not used was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Bihar Field,Plant Road,site shuttle,seat belt not used,UC Observation,0,0,0.0008179322690847793,Driving,['vehicle_driving']
OIL_00037,"During routine operations, exposed live conductor was identified while carrying out cable installation. Immediate intervention was required to prevent a serious incident.",Naharkatiya Field,Processing Plant,cable installation,exposed live conductor,Near Miss,1,1,0.9931184552802291,Energy Isolation,[]
OIL_00038,A routine inspection identified missing entry permit during vessel inspection. The issue was corrected without significant safety exposure.,Rajasthan Field,Water Treatment Area,vessel inspection,missing entry permit,UC Observation,0,0,0.00041485369621938636,Confined Space,['confined_space']
OIL_00039,Personnel were observed during scaffold work; missing fall protection was noted and corrected as a routine safety improvement.,Duliajan Field,Tank Farm,scaffold work,missing fall protection,UA Observation,0,0,0.03555393594680498,Working at Height,['gravity_height']
OIL_00040,A low-severity observation was recorded during roof maintenance involving improper ladder use. No high-consequence hazard was identified.,Duliajan Field,Maintenance Area,roof maintenance,improper ladder use,UC Observation,0,0,2.2778158729788105e-06,Working at Height,['gravity_height']
OIL_00041,A low-severity observation was recorded during field transportation involving fatigue. No high-consequence hazard was identified.,Assam Field,Production Field,field transportation,fatigue,UA Observation,0,0,2.366034946173388e-06,Driving,['vehicle_driving']
OIL_00042,"During routine work, worker inside exclusion zone was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",West Bengal Field,Warehouse,vehicle movement,worker inside exclusion zone,Near Miss,0,0,0.0007585642527320663,Line of Fire,[]
OIL_00043,"During vehicle movement, a minor issue involving poor communication was observed. No significant exposure to serious injury or fatality potential was identified.",Tripura Field,Construction Area,vehicle movement,poor communication,UA Observation,0,0,0.017905148107600508,Line of Fire,[]
OIL_00044,A low-severity observation was recorded during pressure testing involving poor communication. No high-consequence hazard was identified.,Digboi Field,Drilling Site,pressure testing,poor communication,Near Miss,0,0,2.0850534444106846e-06,Line of Fire,['pressure_process']
OIL_00045,"A earthwork activity was observed with inadequate barricading. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",Digboi Field,Pipeline Corridor,earthwork,inadequate barricading,Near Miss,1,1,0.9999489119845978,Work Authorisation,[]
OIL_00046,"During routine work, unguarded platform edge was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Bihar Field,Construction Site,scaffold work,unguarded platform edge,UA Observation,0,0,0.0007463856067979607,Working at Height,['gravity_height']
OIL_00047,"During routine work, unexpected stored energy was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Naharkatiya Field,Production Facility,pipeline maintenance,unexpected stored energy,Near Miss,0,0,0.0008156051622862845,Energy Isolation,['energy_isolation']
OIL_00048,"During routine work, poor vehicle condition was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Digboi Field,Remote Site,site shuttle,poor vehicle condition,UA Observation,0,0,0.0009722658625800251,Driving,['vehicle_driving']
OIL_00049,A routine inspection identified inadequate lifting plan during crane lifting. The issue was corrected without significant safety exposure.,Gujarat Field,Processing Plant,crane lifting,inadequate lifting plan,UA Observation,0,0,0.00045405726296954074,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00050,A low-severity observation was recorded during grinding involving insufficient fire watch. No high-consequence hazard was identified.,Bihar Field,Tank Farm,grinding,insufficient fire watch,UA Observation,0,0,2.2379903913559995e-06,Hot Work,['hot_work_fire']
OIL_00051,Personnel were observed performing equipment lifting despite overloaded crane. Work was stopped and the unsafe condition was corrected.,Bihar Field,Processing Plant,equipment lifting,overloaded crane,Near Miss,1,1,0.9697717686650386,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00052,"During routine work, inadequate scaffold inspection was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Odisha Field,Tank Farm,ladder work,inadequate scaffold inspection,UC Observation,0,0,0.0008115842840869277,Working at Height,['gravity_height']
OIL_00053,"During material handling, a minor issue involving load path not controlled was observed. No significant exposure to serious injury or fatality potential was identified.",West Bengal Field,Well Pad,material handling,load path not controlled,UA Observation,0,0,0.025069551464765995,Line of Fire,['line_of_fire']
OIL_00054,A routine inspection identified poor communication during pressure testing. The issue was corrected without significant safety exposure.,Odisha Field,Well Pad,pressure testing,poor communication,UA Observation,0,0,0.00039206272533950015,Energy Isolation,['pressure_process']
OIL_00055,A routine inspection identified flammable material not removed during fabrication. The issue was corrected without significant safety exposure.,Tripura Field,Fabrication Yard,fabrication,flammable material not removed,UC Observation,0,0,0.0004342091807127013,Hot Work,['hot_work_fire']
OIL_00056,A routine inspection identified incorrect valve identification during pipeline maintenance. The issue was corrected without significant safety exposure.,Odisha Field,Production Facility,pipeline maintenance,incorrect valve identification,UC Observation,0,0,0.0004191797814376836,Energy Isolation,['pressure_process']
OIL_00057,A near miss occurred during lifting operation when load path not controlled was observed at the worksite. The hazard had potential for serious injury or fatality.,Bihar Field,Well Pad,lifting operation,load path not controlled,UA Observation,1,1,0.9935952647240662,Line of Fire,"['line_of_fire', 'mechanical_lifting']"
OIL_00058,"During routine work, unsafe access was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Odisha Field,Well Pad,foundation work,unsafe access,UA Observation,0,0,0.0010813483300050875,Work Authorisation,[]
OIL_00059,A routine inspection identified unsafe positioning during pressure testing. The issue was corrected without significant safety exposure.,Rajasthan Field,Construction Area,pressure testing,unsafe positioning,UA Observation,0,0,0.0006833853875743655,Line of Fire,"['line_of_fire', 'pressure_process']"
OIL_00060,A routine inspection identified fatigue during site shuttle. The issue was corrected without significant safety exposure.,Duliajan Field,Field Road,site shuttle,fatigue,UA Observation,0,0,0.00041764272744977535,Driving,['vehicle_driving']
OIL_00061,"During routine work, flammable material not removed was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Tripura Field,Tank Farm,fabrication,flammable material not removed,UC Observation,0,0,0.0008117104104416228,Hot Work,['hot_work_fire']
OIL_00062,A low-severity observation was recorded during housekeeping involving poor labeling. No high-consequence hazard was identified.,Tripura Field,Canteen,housekeeping,poor labeling,UA Observation,0,0,1.811245488004872e-06,Line of Fire,[]
OIL_00063,A routine inspection identified inadequate lifting plan during load transfer. The issue was corrected without significant safety exposure.,Odisha Field,Processing Plant,load transfer,inadequate lifting plan,UC Observation,0,0,0.0004563447566366523,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00064,"A heavy vehicle operation activity was observed with seat belt not used. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",Bihar Field,Plant Road,heavy vehicle operation,seat belt not used,Incident Report,1,1,0.9999533124538937,Driving,['vehicle_driving']
OIL_00065,"During load transfer, a worker was exposed to a potentially serious hazard because of inadequate lifting plan. The condition was identified before an injury occurred.",Duliajan Field,Drilling Site,load transfer,inadequate lifting plan,UA Observation,1,1,0.9999636293628151,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00066,Personnel were observed during confined space entry; missing entry permit was noted and corrected as a routine safety improvement.,Tripura Field,Production Facility,confined space entry,missing entry permit,UA Observation,0,0,0.03407190948768325,Confined Space,['confined_space']
OIL_00067,"During material lifting, a minor issue involving damaged sling was observed. No significant exposure to serious injury or fatality potential was identified.",Gujarat Field,Warehouse,material lifting,damaged sling,UC Observation,0,0,0.017956870051016312,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00068,A routine inspection identified missing hot-work permit during welding. The issue was corrected without significant safety exposure.,Digboi Field,Workshop,welding,missing hot-work permit,UC Observation,0,0,0.0004761374182276999,Hot Work,['hot_work_fire']
OIL_00069,"During routine operations, inadequate gas testing was identified while carrying out hot work maintenance. Immediate intervention was required to prevent a serious incident.",Duliajan Field,Production Facility,hot work maintenance,inadequate gas testing,UC Observation,1,1,0.9946654841613878,Hot Work,"['confined_space', 'hot_work_fire']"
OIL_00070,"During routine work, poor spark containment was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Tripura Field,Processing Plant,gas cutting,poor spark containment,UA Observation,0,0,0.0008036480670259365,Hot Work,['hot_work_fire']
OIL_00071,"During lifting operation, a minor issue involving unsafe positioning was observed. No significant exposure to serious injury or fatality potential was identified.",West Bengal Field,Well Pad,lifting operation,unsafe positioning,UC Observation,0,0,0.031493229670569514,Line of Fire,"['line_of_fire', 'mechanical_lifting']"
OIL_00072,A low-severity observation was recorded during housekeeping involving minor procedural deviation. No high-consequence hazard was identified.,Gujarat Field,Administrative Building,housekeeping,minor procedural deviation,UC Observation,0,0,1.5388104635219774e-06,Energy Isolation,[]
OIL_00073,"During routine operations, damaged sling was identified while carrying out equipment lifting. Immediate intervention was required to prevent a serious incident.",Odisha Field,Warehouse,equipment lifting,damaged sling,UA Observation,1,1,0.9940345716244677,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00074,"During routine work, inadequate lifting plan was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Odisha Field,Workshop,rigging operation,inadequate lifting plan,UC Observation,0,0,0.0007948992123643284,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00075,"During office activity, a minor issue involving minor procedural deviation was observed. No significant exposure to serious injury or fatality potential was identified.",Odisha Field,Warehouse,office activity,minor procedural deviation,UA Observation,0,0,0.017138369066214146,Energy Isolation,[]
OIL_00076,Personnel were observed during material lifting; damaged sling was noted and corrected as a routine safety improvement.,Rajasthan Field,Warehouse,material lifting,damaged sling,UA Observation,0,0,0.02712566511458415,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00077,"During routine work, poor labeling was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Tripura Field,Office,office activity,poor labeling,Near Miss,0,0,0.0006724806491089674,Driving,[]
OIL_00078,"During pipe handling, a minor issue involving load path not controlled was observed. No significant exposure to serious injury or fatality potential was identified.",Digboi Field,Construction Area,pipe handling,load path not controlled,UA Observation,0,0,0.02644680106299098,Line of Fire,['line_of_fire']
OIL_00079,"During routine work, obstruction was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Bihar Field,Administrative Building,office activity,obstruction,UA Observation,0,0,0.0007117089804796726,Driving,[]
OIL_00080,A routine inspection identified inadequate barricading during earthwork. The issue was corrected without significant safety exposure.,Naharkatiya Field,Production Facility,earthwork,inadequate barricading,UA Observation,0,0,0.0003554035110182862,Work Authorisation,[]
OIL_00081,Personnel were observed during tank cleaning; inadequate ventilation was noted and corrected as a routine safety improvement.,Bihar Field,Production Facility,tank cleaning,inadequate ventilation,UC Observation,0,0,0.028785866841976482,Confined Space,['confined_space']
OIL_00082,Personnel were observed during gas cutting; poor spark containment was noted and corrected as a routine safety improvement.,Bihar Field,Workshop,gas cutting,poor spark containment,UA Observation,0,0,0.03797790893307661,Hot Work,['hot_work_fire']
OIL_00083,"A pipeline maintenance activity was observed with missing isolation verification. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",Odisha Field,Well Pad,pipeline maintenance,missing isolation verification,UA Observation,1,1,0.9999549729086977,Energy Isolation,['energy_isolation']
OIL_00084,A near miss occurred during equipment servicing when unexpected stored energy was observed at the worksite. The hazard had potential for serious injury or fatality.,Duliajan Field,Pump Station,equipment servicing,unexpected stored energy,Near Miss,1,1,0.9923439511039084,Energy Isolation,['energy_isolation']
OIL_00085,A low-severity observation was recorded during platform inspection involving missing fall protection. No high-consequence hazard was identified.,Assam Field,Processing Plant,platform inspection,missing fall protection,UC Observation,0,0,2.062236466373895e-06,Working at Height,['gravity_height']
OIL_00086,Personnel were observed performing scaffold work despite inadequate scaffold inspection. Work was stopped and the unsafe condition was corrected.,West Bengal Field,Processing Plant,scaffold work,inadequate scaffold inspection,UC Observation,1,1,0.9625845254020766,Working at Height,['gravity_height']
OIL_00087,A low-severity observation was recorded during routine inspection involving poor labeling. No high-consequence hazard was identified.,West Bengal Field,Canteen,routine inspection,poor labeling,Near Miss,0,0,1.6493928887866097e-06,Line of Fire,[]
OIL_00088,"During routine work, missing anchor point was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Digboi Field,Processing Plant,elevated maintenance,missing anchor point,Near Miss,0,0,0.0006926608132410794,Working at Height,[]
OIL_00089,A routine inspection identified inadequate scaffold inspection during scaffold work. The issue was corrected without significant safety exposure.,Tripura Field,Warehouse,scaffold work,inadequate scaffold inspection,UC Observation,0,0,0.0005199458420711631,Working at Height,['gravity_height']
OIL_00090,A routine inspection identified minor procedural deviation during general maintenance. The issue was corrected without significant safety exposure.,Odisha Field,Office,general maintenance,minor procedural deviation,UA Observation,0,0,0.0002890404358046365,Energy Isolation,[]
OIL_00091,A near miss occurred during pressure testing when unsafe positioning was observed at the worksite. The hazard had potential for serious injury or fatality.,Digboi Field,Well Pad,pressure testing,unsafe positioning,Near Miss,1,1,0.9949498616493219,Line of Fire,"['line_of_fire', 'pressure_process']"
OIL_00092,A routine inspection identified missing fall protection during roof maintenance. The issue was corrected without significant safety exposure.,West Bengal Field,Processing Plant,roof maintenance,missing fall protection,UC Observation,0,0,0.0004055609856592654,Working at Height,['gravity_height']
OIL_00093,A low-severity observation was recorded during excavation involving water accumulation. No high-consequence hazard was identified.,Odisha Field,Production Facility,excavation,water accumulation,Near Miss,0,0,2.3105395332723845e-06,Work Authorisation,['excavation']
OIL_00094,"During routine work, obstruction was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",West Bengal Field,Workshop,housekeeping,obstruction,UA Observation,0,0,0.0007117089804796726,Driving,[]
OIL_00095,A routine inspection identified missing isolation verification during valve replacement. The issue was corrected without significant safety exposure.,Rajasthan Field,Processing Plant,valve replacement,missing isolation verification,UC Observation,0,0,0.0004990188252642922,Energy Isolation,"['energy_isolation', 'pressure_process']"
OIL_00096,"During routine operations, damaged sling was identified while carrying out equipment lifting. Immediate intervention was required to prevent a serious incident.",Gujarat Field,Warehouse,equipment lifting,damaged sling,Near Miss,1,1,0.9940345716244677,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00097,Personnel were observed during vessel inspection; no standby person was noted and corrected as a routine safety improvement.,Bihar Field,Production Facility,vessel inspection,no standby person,UC Observation,0,0,0.029491157409112536,Confined Space,[]
OIL_00098,"During grinding, a worker was exposed to a potentially serious hazard because of poor spark containment. The condition was identified before an injury occurred.",Tripura Field,Tank Farm,grinding,poor spark containment,Incident Report,1,1,0.9999626985130087,Hot Work,['hot_work_fire']
OIL_00099,"During equipment servicing, a minor issue involving incorrect valve identification was observed. No significant exposure to serious injury or fatality potential was identified.",Odisha Field,Pump Station,equipment servicing,incorrect valve identification,UA Observation,0,0,0.022318719549722792,Energy Isolation,['pressure_process']
OIL_00100,A routine inspection identified unexpected stored energy during pump maintenance. The issue was corrected without significant safety exposure.,Odisha Field,Maintenance Workshop,pump maintenance,unexpected stored energy,Near Miss,0,0,0.00043982916828477005,Energy Isolation,['energy_isolation']
OIL_00101,"During vehicle movement, a worker was exposed to a potentially serious hazard because of inadequate barricading. The condition was identified before an injury occurred.",Naharkatiya Field,Processing Plant,vehicle movement,inadequate barricading,UA Observation,1,1,0.9999589493892612,Line of Fire,[]
OIL_00102,A low-severity observation was recorded during fabrication involving missing hot-work permit. No high-consequence hazard was identified.,Rajasthan Field,Workshop,fabrication,missing hot-work permit,Near Miss,0,0,2.0989919916087677e-06,Hot Work,[]
OIL_00103,"During routine work, missing utility identification was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",West Bengal Field,Well Pad,underground utility work,missing utility identification,UA Observation,0,0,0.0006686075809352861,Work Authorisation,[]
OIL_00104,Personnel were observed during confined space entry; missing entry permit was noted and corrected as a routine safety improvement.,Assam Field,Production Facility,confined space entry,missing entry permit,Near Miss,0,0,0.03407190948768325,Confined Space,['confined_space']
OIL_00105,A routine inspection identified missing anchor point during elevated maintenance. The issue was corrected without significant safety exposure.,Gujarat Field,Tank Farm,elevated maintenance,missing anchor point,UA Observation,0,0,0.0004344655886654072,Working at Height,['gravity_height']
OIL_00106,A routine inspection identified inadequate grounding during switchgear inspection. The issue was corrected without significant safety exposure.,Tripura Field,Workshop,switchgear inspection,inadequate grounding,Near Miss,0,0,0.0004035856901129507,Energy Isolation,['electrical']
OIL_00107,A low-severity observation was recorded during crane lifting involving poor rigging. No high-consequence hazard was identified.,Duliajan Field,Warehouse,crane lifting,poor rigging,UA Observation,0,0,2.3089279868091262e-06,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00108,Personnel were observed during pump maintenance; missing isolation verification was noted and corrected as a routine safety improvement.,Odisha Field,Maintenance Workshop,pump maintenance,missing isolation verification,Near Miss,0,0,0.030390312207476775,Energy Isolation,['energy_isolation']
OIL_00109,"A excavation activity was observed with missing utility identification. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",Rajasthan Field,Well Pad,excavation,missing utility identification,Near Miss,1,1,0.9999535718795455,Work Authorisation,['excavation']
OIL_00110,A low-severity observation was recorded during crane lifting involving poor rigging. No high-consequence hazard was identified.,Odisha Field,Processing Plant,crane lifting,poor rigging,Near Miss,0,0,2.3089279868091262e-06,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00111,Personnel were observed during equipment servicing; incomplete isolation was noted and corrected as a routine safety improvement.,Tripura Field,Production Facility,equipment servicing,incomplete isolation,Incident Report,0,0,0.03032221187708125,Energy Isolation,['energy_isolation']
OIL_00112,"During fabrication, a minor issue involving inadequate gas testing was observed. No significant exposure to serious injury or fatality potential was identified.",Rajasthan Field,Tank Farm,fabrication,inadequate gas testing,UA Observation,0,0,0.017092080260576247,Hot Work,"['confined_space', 'hot_work_fire']"
OIL_00113,A low-severity observation was recorded during rigging operation involving overloaded crane. No high-consequence hazard was identified.,Duliajan Field,Processing Plant,rigging operation,overloaded crane,UC Observation,0,0,2.4277012974908437e-06,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00114,Personnel were observed performing load transfer despite overloaded crane. Work was stopped and the unsafe condition was corrected.,Odisha Field,Warehouse,load transfer,overloaded crane,Near Miss,1,1,0.9643392692509328,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00115,Personnel were observed during earthwork; unsupported excavation wall was noted and corrected as a routine safety improvement.,Odisha Field,Well Pad,earthwork,unsupported excavation wall,UC Observation,0,0,0.03306502236115661,Work Authorisation,['excavation']
OIL_00116,A low-severity observation was recorded during office activity involving obstruction. No high-consequence hazard was identified.,Tripura Field,Workshop,office activity,obstruction,UC Observation,0,0,1.909017583743962e-06,Energy Isolation,[]
OIL_00117,Personnel were observed during gas cutting; flammable material not removed was noted and corrected as a routine safety improvement.,Rajasthan Field,Fabrication Yard,gas cutting,flammable material not removed,UC Observation,0,0,0.036333460405871675,Hot Work,['hot_work_fire']
OIL_00118,"During material lifting, a worker was exposed to a potentially serious hazard because of damaged sling. The condition was identified before an injury occurred.",Odisha Field,Processing Plant,material lifting,damaged sling,UC Observation,1,1,0.9999624018125991,Safe Mechanical Lifting,['mechanical_lifting']
OIL_00119,A routine inspection identified missing anchor point during roof maintenance. The issue was corrected without significant safety exposure.,Duliajan Field,Construction Site,roof maintenance,missing anchor point,UC Observation,0,0,0.00042245068277289903,Working at Height,['gravity_height']
OIL_00120,"During routine work, incorrect valve identification was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Rajasthan Field,Processing Plant,valve replacement,incorrect valve identification,UA Observation,0,0,0.0007592904591467597,Energy Isolation,['pressure_process']
OIL_00121,"During routine work, overloaded crane was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",Bihar Field,Construction Area,rigging operation,overloaded crane,Near Miss,0,0,0.0008743101383453794,Safe Mechanical Lifting,['mechanical_lifting']
