report_id,report_text,sif_potential,life_saving_rule,activity,location,barrier_failure,report_type,site
OIL_00015,Personnel were observed during pipeline maintenance; missing isolation verification was noted and corrected as a routine safety improvement.,0,None,pipeline maintenance,Well Pad,missing isolation verification,UA Observation,Odisha Field
OIL_00016,"During elevated maintenance, a worker was exposed to a potentially serious hazard because of inadequate scaffold inspection. The condition was identified before an injury occurred.",1,Working at Height,elevated maintenance,Maintenance Area,inadequate scaffold inspection,UC Observation,Rajasthan Field
OIL_00017,Personnel were observed during electrical testing; missing electrical isolation was noted and corrected as a routine safety improvement.,0,None,electrical testing,Processing Plant,missing electrical isolation,UC Observation,Bihar Field
OIL_00018,"During office activity, a minor issue involving obstruction was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,office activity,Office,obstruction,Near Miss,Rajasthan Field
OIL_00019,A low-severity observation was recorded during material handling involving worker inside exclusion zone. No high-consequence hazard was identified.,0,Line of Fire,material handling,Drilling Site,worker inside exclusion zone,UC Observation,Bihar Field
OIL_00020,Personnel were observed during pit cleaning; inadequate rescue arrangement was noted and corrected as a routine safety improvement.,0,None,pit cleaning,Process Vessel,inadequate rescue arrangement,UC Observation,Digboi Field
OIL_00021,A low-severity observation was recorded during pressure testing involving load path not controlled. No high-consequence hazard was identified.,0,None,pressure testing,Warehouse,load path not controlled,Near Miss,Digboi Field
OIL_00022,A routine inspection identified fatigue during vehicle driving. The issue was corrected without significant safety exposure.,0,None,vehicle driving,Remote Site,fatigue,UC Observation,Assam Field
OIL_00023,A routine inspection identified incomplete isolation during valve replacement. The issue was corrected without significant safety exposure.,0,None,valve replacement,Maintenance Workshop,incomplete isolation,UA Observation,Bihar Field
OIL_00024,"A trenching activity was observed with water accumulation. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Excavation,trenching,Well Pad,water accumulation,Near Miss,Tripura Field
OIL_00025,"During equipment lifting, a minor issue involving damaged sling was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,equipment lifting,Drilling Site,damaged sling,UA Observation,Naharkatiya Field
OIL_00026,A low-severity observation was recorded during material handling involving load path not controlled. No high-consequence hazard was identified.,0,None,material handling,Well Pad,load path not controlled,UA Observation,Naharkatiya Field
OIL_00027,"During electrical repair, a minor issue involving exposed live conductor was observed. No significant exposure to serious injury or fatality potential was identified.",0,Electrical Safety,electrical repair,Production Facility,exposed live conductor,Near Miss,Digboi Field
OIL_00028,"During underground utility work, a worker was exposed to a potentially serious hazard because of missing utility identification. The condition was identified before an injury occurred.",1,Excavation,underground utility work,Well Pad,missing utility identification,Near Miss,Assam Field
OIL_00029,"During routine work, unguarded platform edge was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,platform inspection,Tank Farm,unguarded platform edge,UC Observation,Digboi Field
OIL_00030,Personnel were observed during equipment servicing; missing isolation verification was noted and corrected as a routine safety improvement.,0,None,equipment servicing,Processing Plant,missing isolation verification,UA Observation,Bihar Field
OIL_00031,"During panel maintenance, a minor issue involving exposed live conductor was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,panel maintenance,Production Facility,exposed live conductor,Near Miss,Naharkatiya Field
OIL_00032,A routine inspection identified worker inside exclusion zone during pipe handling. The issue was corrected without significant safety exposure.,0,None,pipe handling,Processing Plant,worker inside exclusion zone,UC Observation,Naharkatiya Field
OIL_00033,Personnel were observed during material storage; poor labeling was noted and corrected as a routine safety improvement.,0,None,material storage,Workshop,poor labeling,UA Observation,Digboi Field
OIL_00034,"During vessel inspection, a minor issue involving no standby person was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,vessel inspection,Sewer Area,no standby person,UA Observation,West Bengal Field
OIL_00035,Personnel were observed during hot work maintenance; inadequate gas testing was noted and corrected as a routine safety improvement.,0,None,hot work maintenance,Fabrication Yard,inadequate gas testing,UA Observation,Naharkatiya Field
OIL_00036,"During routine work, seat belt not used was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,site shuttle,Plant Road,seat belt not used,UC Observation,Bihar Field
OIL_00037,"During routine operations, exposed live conductor was identified while carrying out cable installation. Immediate intervention was required to prevent a serious incident.",1,Electrical Safety,cable installation,Processing Plant,exposed live conductor,Near Miss,Naharkatiya Field
OIL_00038,A routine inspection identified missing entry permit during vessel inspection. The issue was corrected without significant safety exposure.,0,None,vessel inspection,Water Treatment Area,missing entry permit,UC Observation,Rajasthan Field
OIL_00039,Personnel were observed during scaffold work; missing fall protection was noted and corrected as a routine safety improvement.,0,None,scaffold work,Tank Farm,missing fall protection,UA Observation,Duliajan Field
OIL_00040,A low-severity observation was recorded during roof maintenance involving improper ladder use. No high-consequence hazard was identified.,0,None,roof maintenance,Maintenance Area,improper ladder use,UC Observation,Duliajan Field
OIL_00041,A low-severity observation was recorded during field transportation involving fatigue. No high-consequence hazard was identified.,0,None,field transportation,Production Field,fatigue,UA Observation,Assam Field
OIL_00042,"During routine work, worker inside exclusion zone was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,vehicle movement,Warehouse,worker inside exclusion zone,Near Miss,West Bengal Field
OIL_00043,"During vehicle movement, a minor issue involving poor communication was observed. No significant exposure to serious injury or fatality potential was identified.",0,Line of Fire,vehicle movement,Construction Area,poor communication,UA Observation,Tripura Field
OIL_00044,A low-severity observation was recorded during pressure testing involving poor communication. No high-consequence hazard was identified.,0,Line of Fire,pressure testing,Drilling Site,poor communication,Near Miss,Digboi Field
OIL_00045,"A earthwork activity was observed with inadequate barricading. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Excavation,earthwork,Pipeline Corridor,inadequate barricading,Near Miss,Digboi Field
OIL_00046,"During routine work, unguarded platform edge was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Working at Height,scaffold work,Construction Site,unguarded platform edge,UA Observation,Bihar Field
OIL_00047,"During routine work, unexpected stored energy was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,pipeline maintenance,Production Facility,unexpected stored energy,Near Miss,Naharkatiya Field
OIL_00048,"During routine work, poor vehicle condition was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Driving,site shuttle,Remote Site,poor vehicle condition,UA Observation,Digboi Field
OIL_00049,A routine inspection identified inadequate lifting plan during crane lifting. The issue was corrected without significant safety exposure.,0,None,crane lifting,Processing Plant,inadequate lifting plan,UA Observation,Gujarat Field
OIL_00050,A low-severity observation was recorded during grinding involving insufficient fire watch. No high-consequence hazard was identified.,0,None,grinding,Tank Farm,insufficient fire watch,UA Observation,Bihar Field
OIL_00051,Personnel were observed performing equipment lifting despite overloaded crane. Work was stopped and the unsafe condition was corrected.,1,Lifting Operations,equipment lifting,Processing Plant,overloaded crane,Near Miss,Bihar Field
OIL_00052,"During routine work, inadequate scaffold inspection was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,ladder work,Tank Farm,inadequate scaffold inspection,UC Observation,Odisha Field
OIL_00053,"During material handling, a minor issue involving load path not controlled was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,material handling,Well Pad,load path not controlled,UA Observation,West Bengal Field
OIL_00054,A routine inspection identified poor communication during pressure testing. The issue was corrected without significant safety exposure.,0,None,pressure testing,Well Pad,poor communication,UA Observation,Odisha Field
OIL_00055,A routine inspection identified flammable material not removed during fabrication. The issue was corrected without significant safety exposure.,0,None,fabrication,Fabrication Yard,flammable material not removed,UC Observation,Tripura Field
OIL_00056,A routine inspection identified incorrect valve identification during pipeline maintenance. The issue was corrected without significant safety exposure.,0,None,pipeline maintenance,Production Facility,incorrect valve identification,UC Observation,Odisha Field
OIL_00057,A near miss occurred during lifting operation when load path not controlled was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Line of Fire,lifting operation,Well Pad,load path not controlled,UA Observation,Bihar Field
OIL_00058,"During routine work, unsafe access was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,foundation work,Well Pad,unsafe access,UA Observation,Odisha Field
OIL_00059,A routine inspection identified unsafe positioning during pressure testing. The issue was corrected without significant safety exposure.,0,None,pressure testing,Construction Area,unsafe positioning,UA Observation,Rajasthan Field
OIL_00060,A routine inspection identified fatigue during site shuttle. The issue was corrected without significant safety exposure.,0,None,site shuttle,Field Road,fatigue,UA Observation,Duliajan Field
OIL_00061,"During routine work, flammable material not removed was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,fabrication,Tank Farm,flammable material not removed,UC Observation,Tripura Field
OIL_00062,A low-severity observation was recorded during housekeeping involving poor labeling. No high-consequence hazard was identified.,0,None,housekeeping,Canteen,poor labeling,UA Observation,Tripura Field
OIL_00063,A routine inspection identified inadequate lifting plan during load transfer. The issue was corrected without significant safety exposure.,0,None,load transfer,Processing Plant,inadequate lifting plan,UC Observation,Odisha Field
OIL_00064,"A heavy vehicle operation activity was observed with seat belt not used. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Driving,heavy vehicle operation,Plant Road,seat belt not used,Incident Report,Bihar Field
OIL_00065,"During load transfer, a worker was exposed to a potentially serious hazard because of inadequate lifting plan. The condition was identified before an injury occurred.",1,Lifting Operations,load transfer,Drilling Site,inadequate lifting plan,UA Observation,Duliajan Field
OIL_00066,Personnel were observed during confined space entry; missing entry permit was noted and corrected as a routine safety improvement.,0,None,confined space entry,Production Facility,missing entry permit,UA Observation,Tripura Field
OIL_00067,"During material lifting, a minor issue involving damaged sling was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,material lifting,Warehouse,damaged sling,UC Observation,Gujarat Field
OIL_00068,A routine inspection identified missing hot-work permit during welding. The issue was corrected without significant safety exposure.,0,None,welding,Workshop,missing hot-work permit,UC Observation,Digboi Field
OIL_00069,"During routine operations, inadequate gas testing was identified while carrying out hot work maintenance. Immediate intervention was required to prevent a serious incident.",1,Hot Work,hot work maintenance,Production Facility,inadequate gas testing,UC Observation,Duliajan Field
OIL_00070,"During routine work, poor spark containment was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,gas cutting,Processing Plant,poor spark containment,UA Observation,Tripura Field
OIL_00071,"During lifting operation, a minor issue involving unsafe positioning was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,lifting operation,Well Pad,unsafe positioning,UC Observation,West Bengal Field
OIL_00072,A low-severity observation was recorded during housekeeping involving minor procedural deviation. No high-consequence hazard was identified.,0,None,housekeeping,Administrative Building,minor procedural deviation,UC Observation,Gujarat Field
OIL_00073,"During routine operations, damaged sling was identified while carrying out equipment lifting. Immediate intervention was required to prevent a serious incident.",1,Lifting Operations,equipment lifting,Warehouse,damaged sling,UA Observation,Odisha Field
OIL_00074,"During routine work, inadequate lifting plan was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,rigging operation,Workshop,inadequate lifting plan,UC Observation,Odisha Field
OIL_00075,"During office activity, a minor issue involving minor procedural deviation was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,office activity,Warehouse,minor procedural deviation,UA Observation,Odisha Field
OIL_00076,Personnel were observed during material lifting; damaged sling was noted and corrected as a routine safety improvement.,0,None,material lifting,Warehouse,damaged sling,UA Observation,Rajasthan Field
OIL_00077,"During routine work, poor labeling was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,office activity,Office,poor labeling,Near Miss,Tripura Field
OIL_00078,"During pipe handling, a minor issue involving load path not controlled was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,pipe handling,Construction Area,load path not controlled,UA Observation,Digboi Field
OIL_00079,"During routine work, obstruction was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,office activity,Administrative Building,obstruction,UA Observation,Bihar Field
OIL_00080,A routine inspection identified inadequate barricading during earthwork. The issue was corrected without significant safety exposure.,0,None,earthwork,Production Facility,inadequate barricading,UA Observation,Naharkatiya Field
OIL_00081,Personnel were observed during tank cleaning; inadequate ventilation was noted and corrected as a routine safety improvement.,0,Confined Space,tank cleaning,Production Facility,inadequate ventilation,UC Observation,Bihar Field
OIL_00082,Personnel were observed during gas cutting; poor spark containment was noted and corrected as a routine safety improvement.,0,None,gas cutting,Workshop,poor spark containment,UA Observation,Bihar Field
OIL_00083,"A pipeline maintenance activity was observed with missing isolation verification. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Energy Isolation,pipeline maintenance,Well Pad,missing isolation verification,UA Observation,Odisha Field
OIL_00084,A near miss occurred during equipment servicing when unexpected stored energy was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Energy Isolation,equipment servicing,Pump Station,unexpected stored energy,Near Miss,Duliajan Field
OIL_00085,A low-severity observation was recorded during platform inspection involving missing fall protection. No high-consequence hazard was identified.,0,None,platform inspection,Processing Plant,missing fall protection,UC Observation,Assam Field
OIL_00086,Personnel were observed performing scaffold work despite inadequate scaffold inspection. Work was stopped and the unsafe condition was corrected.,1,Working at Height,scaffold work,Processing Plant,inadequate scaffold inspection,UC Observation,West Bengal Field
OIL_00087,A low-severity observation was recorded during routine inspection involving poor labeling. No high-consequence hazard was identified.,0,None,routine inspection,Canteen,poor labeling,Near Miss,West Bengal Field
OIL_00088,"During routine work, missing anchor point was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,elevated maintenance,Processing Plant,missing anchor point,Near Miss,Digboi Field
OIL_00089,A routine inspection identified inadequate scaffold inspection during scaffold work. The issue was corrected without significant safety exposure.,0,None,scaffold work,Warehouse,inadequate scaffold inspection,UC Observation,Tripura Field
OIL_00090,A routine inspection identified minor procedural deviation during general maintenance. The issue was corrected without significant safety exposure.,0,None,general maintenance,Office,minor procedural deviation,UA Observation,Odisha Field
OIL_00091,A near miss occurred during pressure testing when unsafe positioning was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Line of Fire,pressure testing,Well Pad,unsafe positioning,Near Miss,Digboi Field
OIL_00092,A routine inspection identified missing fall protection during roof maintenance. The issue was corrected without significant safety exposure.,0,None,roof maintenance,Processing Plant,missing fall protection,UC Observation,West Bengal Field
OIL_00093,A low-severity observation was recorded during excavation involving water accumulation. No high-consequence hazard was identified.,0,None,excavation,Production Facility,water accumulation,Near Miss,Odisha Field
OIL_00094,"During routine work, obstruction was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,housekeeping,Workshop,obstruction,UA Observation,West Bengal Field
OIL_00095,A routine inspection identified missing isolation verification during valve replacement. The issue was corrected without significant safety exposure.,0,None,valve replacement,Processing Plant,missing isolation verification,UC Observation,Rajasthan Field
OIL_00096,"During routine operations, damaged sling was identified while carrying out equipment lifting. Immediate intervention was required to prevent a serious incident.",1,Lifting Operations,equipment lifting,Warehouse,damaged sling,Near Miss,Gujarat Field
OIL_00097,Personnel were observed during vessel inspection; no standby person was noted and corrected as a routine safety improvement.,0,None,vessel inspection,Production Facility,no standby person,UC Observation,Bihar Field
OIL_00098,"During grinding, a worker was exposed to a potentially serious hazard because of poor spark containment. The condition was identified before an injury occurred.",1,Hot Work,grinding,Tank Farm,poor spark containment,Incident Report,Tripura Field
OIL_00099,"During equipment servicing, a minor issue involving incorrect valve identification was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,equipment servicing,Pump Station,incorrect valve identification,UA Observation,Odisha Field
OIL_00100,A routine inspection identified unexpected stored energy during pump maintenance. The issue was corrected without significant safety exposure.,0,None,pump maintenance,Maintenance Workshop,unexpected stored energy,Near Miss,Odisha Field
OIL_00101,"During vehicle movement, a worker was exposed to a potentially serious hazard because of inadequate barricading. The condition was identified before an injury occurred.",1,Line of Fire,vehicle movement,Processing Plant,inadequate barricading,UA Observation,Naharkatiya Field
OIL_00102,A low-severity observation was recorded during fabrication involving missing hot-work permit. No high-consequence hazard was identified.,0,None,fabrication,Workshop,missing hot-work permit,Near Miss,Rajasthan Field
OIL_00103,"During routine work, missing utility identification was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,underground utility work,Well Pad,missing utility identification,UA Observation,West Bengal Field
OIL_00104,Personnel were observed during confined space entry; missing entry permit was noted and corrected as a routine safety improvement.,0,None,confined space entry,Production Facility,missing entry permit,Near Miss,Assam Field
OIL_00105,A routine inspection identified missing anchor point during elevated maintenance. The issue was corrected without significant safety exposure.,0,None,elevated maintenance,Tank Farm,missing anchor point,UA Observation,Gujarat Field
OIL_00106,A routine inspection identified inadequate grounding during switchgear inspection. The issue was corrected without significant safety exposure.,0,None,switchgear inspection,Workshop,inadequate grounding,Near Miss,Tripura Field
OIL_00107,A low-severity observation was recorded during crane lifting involving poor rigging. No high-consequence hazard was identified.,0,None,crane lifting,Warehouse,poor rigging,UA Observation,Duliajan Field
OIL_00108,Personnel were observed during pump maintenance; missing isolation verification was noted and corrected as a routine safety improvement.,0,Energy Isolation,pump maintenance,Maintenance Workshop,missing isolation verification,Near Miss,Odisha Field
OIL_00109,"A excavation activity was observed with missing utility identification. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Excavation,excavation,Well Pad,missing utility identification,Near Miss,Rajasthan Field
OIL_00110,A low-severity observation was recorded during crane lifting involving poor rigging. No high-consequence hazard was identified.,0,None,crane lifting,Processing Plant,poor rigging,Near Miss,Odisha Field
OIL_00111,Personnel were observed during equipment servicing; incomplete isolation was noted and corrected as a routine safety improvement.,0,None,equipment servicing,Production Facility,incomplete isolation,Incident Report,Tripura Field
OIL_00112,"During fabrication, a minor issue involving inadequate gas testing was observed. No significant exposure to serious injury or fatality potential was identified.",0,Hot Work,fabrication,Tank Farm,inadequate gas testing,UA Observation,Rajasthan Field
OIL_00113,A low-severity observation was recorded during rigging operation involving overloaded crane. No high-consequence hazard was identified.,0,Lifting Operations,rigging operation,Processing Plant,overloaded crane,UC Observation,Duliajan Field
OIL_00114,Personnel were observed performing load transfer despite overloaded crane. Work was stopped and the unsafe condition was corrected.,1,Lifting Operations,load transfer,Warehouse,overloaded crane,Near Miss,Odisha Field
OIL_00115,Personnel were observed during earthwork; unsupported excavation wall was noted and corrected as a routine safety improvement.,0,None,earthwork,Well Pad,unsupported excavation wall,UC Observation,Odisha Field
OIL_00116,A low-severity observation was recorded during office activity involving obstruction. No high-consequence hazard was identified.,0,None,office activity,Workshop,obstruction,UC Observation,Tripura Field
OIL_00117,Personnel were observed during gas cutting; flammable material not removed was noted and corrected as a routine safety improvement.,0,Hot Work,gas cutting,Fabrication Yard,flammable material not removed,UC Observation,Rajasthan Field
OIL_00118,"During material lifting, a worker was exposed to a potentially serious hazard because of damaged sling. The condition was identified before an injury occurred.",1,Lifting Operations,material lifting,Processing Plant,damaged sling,UC Observation,Odisha Field
OIL_00119,A routine inspection identified missing anchor point during roof maintenance. The issue was corrected without significant safety exposure.,0,None,roof maintenance,Construction Site,missing anchor point,UC Observation,Duliajan Field
OIL_00120,"During routine work, incorrect valve identification was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,valve replacement,Processing Plant,incorrect valve identification,UA Observation,Rajasthan Field
OIL_00121,"During routine work, overloaded crane was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,rigging operation,Construction Area,overloaded crane,Near Miss,Bihar Field
OIL_00122,Personnel were observed during vessel inspection; no standby person was noted and corrected as a routine safety improvement.,0,None,vessel inspection,Sewer Area,no standby person,UC Observation,Naharkatiya Field
OIL_00123,"During pipe handling, a worker was exposed to a potentially serious hazard because of unsafe positioning. The condition was identified before an injury occurred.",1,Line of Fire,pipe handling,Warehouse,unsafe positioning,UC Observation,Assam Field
OIL_00124,"During routine work, poor spark containment was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,fabrication,Tank Farm,poor spark containment,UA Observation,Gujarat Field
OIL_00125,Personnel were observed performing pipe handling despite worker inside exclusion zone. Work was stopped and the unsafe condition was corrected.,1,Line of Fire,pipe handling,Processing Plant,worker inside exclusion zone,Near Miss,West Bengal Field
OIL_00126,"During fabrication, a minor issue involving poor spark containment was observed. No significant exposure to serious injury or fatality potential was identified.",0,Hot Work,fabrication,Production Facility,poor spark containment,UA Observation,Rajasthan Field
OIL_00127,A routine inspection identified inadequate gas testing during welding. The issue was corrected without significant safety exposure.,0,None,welding,Fabrication Yard,inadequate gas testing,UA Observation,Bihar Field
OIL_00128,"During routine work, no gas testing was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Confined Space,pit cleaning,Production Facility,no gas testing,UA Observation,Assam Field
OIL_00129,Personnel were observed during pipe handling; load path not controlled was noted and corrected as a routine safety improvement.,0,None,pipe handling,Well Pad,load path not controlled,UA Observation,Bihar Field
OIL_00130,A routine inspection identified poor vehicle condition during vehicle driving. The issue was corrected without significant safety exposure.,0,Driving,vehicle driving,Camp Road,poor vehicle condition,Near Miss,Odisha Field
OIL_00131,"During routine operations, worker inside exclusion zone was identified while carrying out material handling. Immediate intervention was required to prevent a serious incident.",1,Line of Fire,material handling,Drilling Site,worker inside exclusion zone,Near Miss,Duliajan Field
OIL_00132,"During routine work, unsafe positioning was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Line of Fire,lifting operation,Well Pad,unsafe positioning,UA Observation,Gujarat Field
OIL_00133,A routine inspection identified minor procedural deviation during housekeeping. The issue was corrected without significant safety exposure.,0,None,housekeeping,Warehouse,minor procedural deviation,UC Observation,Naharkatiya Field
OIL_00134,A routine inspection identified incomplete isolation during pump maintenance. The issue was corrected without significant safety exposure.,0,None,pump maintenance,Well Pad,incomplete isolation,UC Observation,Rajasthan Field
OIL_00135,A near miss occurred during load transfer when damaged sling was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Lifting Operations,load transfer,Drilling Site,damaged sling,Near Miss,Gujarat Field
OIL_00136,"During routine work, insufficient fire watch was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Hot Work,fabrication,Workshop,insufficient fire watch,UA Observation,Bihar Field
OIL_00137,A low-severity observation was recorded during pipeline maintenance involving incorrect valve identification. No high-consequence hazard was identified.,0,None,pipeline maintenance,Pump Station,incorrect valve identification,UC Observation,Odisha Field
OIL_00138,"During grinding, a worker was exposed to a potentially serious hazard because of insufficient fire watch. The condition was identified before an injury occurred.",1,Hot Work,grinding,Workshop,insufficient fire watch,Near Miss,West Bengal Field
OIL_00139,"During routine work, inadequate grounding was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,cable installation,Production Facility,inadequate grounding,UA Observation,Tripura Field
OIL_00140,A near miss occurred during hot work maintenance when inadequate gas testing was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Hot Work,hot work maintenance,Production Facility,inadequate gas testing,UC Observation,Tripura Field
OIL_00141,Personnel were observed during underground utility work; water accumulation was noted and corrected as a routine safety improvement.,0,None,underground utility work,Construction Site,water accumulation,UA Observation,Gujarat Field
OIL_00142,"During excavation, a minor issue involving unsupported excavation wall was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,excavation,Construction Site,unsupported excavation wall,UA Observation,Gujarat Field
OIL_00143,"During routine work, incorrect PPE was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,electrical repair,Production Facility,incorrect PPE,UA Observation,Gujarat Field
OIL_00144,Personnel were observed during crane lifting; poor rigging was noted and corrected as a routine safety improvement.,0,None,crane lifting,Processing Plant,poor rigging,UA Observation,Digboi Field
OIL_00145,Personnel were observed performing trenching despite unsupported excavation wall. Work was stopped and the unsafe condition was corrected.,1,Excavation,trenching,Production Facility,unsupported excavation wall,Near Miss,Rajasthan Field
OIL_00146,"During routine work, inadequate lifting plan was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Lifting Operations,load transfer,Processing Plant,inadequate lifting plan,UA Observation,Rajasthan Field
OIL_00147,"During ladder work, a worker was exposed to a potentially serious hazard because of unguarded platform edge. The condition was identified before an injury occurred.",1,Working at Height,ladder work,Construction Site,unguarded platform edge,Near Miss,Duliajan Field
OIL_00148,"During crane lifting, a minor issue involving overloaded crane was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,crane lifting,Drilling Site,overloaded crane,UC Observation,Tripura Field
OIL_00149,"During routine work, missing entry permit was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Confined Space,vessel inspection,Sewer Area,missing entry permit,UC Observation,Duliajan Field
OIL_00150,A near miss occurred during pipeline maintenance when unexpected stored energy was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Energy Isolation,pipeline maintenance,Pump Station,unexpected stored energy,UA Observation,Odisha Field
OIL_00151,A low-severity observation was recorded during material handling involving worker inside exclusion zone. No high-consequence hazard was identified.,0,None,material handling,Warehouse,worker inside exclusion zone,UA Observation,West Bengal Field
OIL_00152,"During routine work, inadequate scaffold inspection was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,scaffold work,Tank Farm,inadequate scaffold inspection,UA Observation,Digboi Field
OIL_00153,"During ladder work, a minor issue involving unguarded platform edge was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,ladder work,Processing Plant,unguarded platform edge,UC Observation,Duliajan Field
OIL_00154,"During material handling, a minor issue involving unsafe positioning was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,material handling,Warehouse,unsafe positioning,UA Observation,Tripura Field
